Loan_ID,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married,Loan_Status,Education,Self_Employed,Gender,Property_Area
LP001002,0.0,5849,0.0,146.41,360.0,1.0,0,1,0,0,1,2
LP001003,1.0,4583,1508.0,128.0,360.0,1.0,1,0,0,0,1,0
LP001005,0.0,3000,0.0,66.0,360.0,1.0,1,1,0,1,1,2
LP001006,0.0,2583,2358.0,120.0,360.0,1.0,1,1,1,0,1,2
LP001008,0.0,6000,0.0,141.0,360.0,1.0,0,1,0,0,1,2
LP001011,2.0,5417,4196.0,267.0,360.0,1.0,1,1,0,1,1,2
LP001013,0.0,2333,1516.0,95.0,360.0,1.0,1,1,1,0,1,2
LP001014,3.0,3036,2504.0,158.0,360.0,0.0,1,0,0,0,1,1
LP001018,2.0,4006,1526.0,168.0,360.0,1.0,1,1,0,0,1,2
LP001020,1.0,12841,10968.0,349.0,360.0,1.0,1,0,0,0,1,1
LP001024,2.0,3200,700.0,70.0,360.0,1.0,1,1,0,0,1,2
LP001027,2.0,2500,1840.0,109.0,360.0,1.0,1,1,0,2,1,2
LP001028,2.0,3073,8106.0,200.0,360.0,1.0,1,1,0,0,1,2
LP001029,0.0,1853,2840.0,114.0,360.0,1.0,0,0,0,0,1,0
LP001030,2.0,1299,1086.0,17.0,120.0,1.0,1,1,0,0,1,2
LP001032,0.0,4950,0.0,125.0,360.0,1.0,0,1,0,0,1,2
LP001034,1.0,3596,0.0,100.0,240.0,1.0,0,1,1,0,1,2
LP001036,0.0,3510,0.0,76.0,360.0,0.0,0,0,0,0,0,2
LP001038,0.0,4887,0.0,133.0,360.0,1.0,1,0,1,0,1,0
LP001041,0.0,2600,3500.0,115.0,342.0,1.0,1,1,0,2,1,2
LP001043,0.0,7660,0.0,104.0,360.0,0.0,1,0,1,0,1,2
LP001046,1.0,5955,5625.0,315.0,360.0,1.0,1,1,0,0,1,2
LP001047,0.0,2600,1911.0,116.0,360.0,0.0,1,0,1,0,1,1
LP001050,2.0,3365,1917.0,112.0,360.0,0.0,1,0,1,0,2,0
LP001052,1.0,3717,2925.0,151.0,360.0,1.0,1,0,0,2,1,1
LP001066,0.0,9560,0.0,191.0,360.0,1.0,1,1,0,1,1,1
LP001068,0.0,2799,2253.0,122.0,360.0,1.0,1,1,0,0,1,1
LP001073,2.0,4226,1040.0,110.0,360.0,1.0,1,1,1,0,1,2
LP001086,0.0,1442,0.0,35.0,360.0,1.0,0,0,1,0,1,2
LP001087,2.0,3750,2083.0,120.0,360.0,1.0,0,1,0,2,0,1
LP001091,1.0,4166,3369.0,201.0,360.0,1.0,1,0,0,2,1,2
LP001095,0.0,3167,0.0,74.0,360.0,1.0,0,0,0,0,1,2
LP001097,1.0,4692,0.0,106.0,360.0,1.0,0,0,0,1,1,0
LP001098,0.0,3500,1667.0,114.0,360.0,1.0,1,1,0,0,1,1
LP001100,3.0,12500,3000.0,320.0,360.0,1.0,0,0,0,0,1,0
LP001106,0.0,2275,2067.0,146.41,360.0,1.0,1,1,0,0,1,2
LP001109,0.0,1828,1330.0,100.0,342.0,0.0,1,0,0,0,1,2
LP001112,0.0,3667,1459.0,144.0,360.0,1.0,1,1,0,0,0,1
LP001114,0.0,4166,7210.0,184.0,360.0,1.0,0,1,0,0,1,2
LP001116,0.0,3748,1668.0,110.0,360.0,1.0,0,1,1,0,1,1
LP001119,0.0,3600,0.0,80.0,360.0,1.0,0,0,0,0,1,2
LP001120,0.0,1800,1213.0,47.0,360.0,1.0,0,1,0,0,1,2
LP001123,0.0,2400,0.0,75.0,360.0,1.0,1,1,0,0,1,2
LP001131,0.0,3941,2336.0,134.0,360.0,1.0,1,1,0,0,1,1
LP001136,0.0,4695,0.0,96.0,342.0,1.0,1,1,1,1,1,2
LP001137,0.0,3410,0.0,88.0,342.0,1.0,0,1,0,0,0,2
LP001138,1.0,5649,0.0,44.0,360.0,1.0,1,1,0,0,1,2
LP001144,0.0,5821,0.0,144.0,360.0,1.0,1,1,0,0,1,2
LP001146,0.0,2645,3440.0,120.0,360.0,0.0,1,0,0,0,0,2
LP001151,0.0,4000,2275.0,144.0,360.0,1.0,0,1,0,0,0,1
LP001155,0.0,1928,1644.0,100.0,360.0,1.0,1,1,1,0,0,1
LP001157,0.0,3086,0.0,120.0,360.0,1.0,0,1,0,0,0,1
LP001164,0.0,4230,0.0,112.0,360.0,1.0,0,0,0,0,0,1
LP001179,2.0,4616,0.0,134.0,360.0,1.0,1,0,0,0,1,2
LP001186,1.0,11500,0.0,286.0,360.0,0.0,1,0,0,1,0,2
